Timestamp,Source_IP,Destination_IP,Protocol,Port,Bytes_Transferred
2023-11-22 08:00:00,203.0.113.10,8.8.8.8,TCP,80,1200
2023-11-22 08:02:30,54.230.200.1,8.8.4.4,UDP,53,500
2023-11-22 08:05:45,203.0.113.10,74.125.16.1,TCP,443,800
2023-11-22 08:10:15,45.63.32.10,74.125.200.101,HTTP,8080,2000
2023-11-22 08:15:40,151.101.1.69,203.0.113.5,TCP,22,1500
2023-11-22 08:20:05,8.8.4.4,203.0.113.10,UDP,53,600
2023-11-22 08:25:30,74.125.16.1,203.0.113.10,TCP,443,1200
2023-11-22 08:30:55,74.125.200.101,45.63.32.10,HTTP,8080,2500
2023-11-22 08:35:20,203.0.113.5,151.101.1.69,TCP,22,1800
2023-11-22 08:40:45,8.8.8.8,54.230.200.1,UDP,53,750
2023-11-22 08:45:10,203.0.113.10,45.63.32.10,TCP,80,1000
2023-11-22 08:50:35,74.125.16.1,203.0.113.5,TCP,443,1600
2023-11-22 08:55:00,45.63.32.10,74.125.200.101,HTTP,8080,3000
2023-11-22 09:00:25,151.101.1.69,8.8.4.4,TCP,22,2000
2023-11-22 09:05:50,203.0.113.5,74.125.16.1,UDP,53,800
2023-11-22 09:10:15,54.230.200.1,203.0.113.10,TCP,443,1400
2023-11-22 09:15:40,8.8.4.4,45.63.32.10,HTTP,8080,1800
2023-11-22 09:20:05,203.0.113.10,151.101.1.69,TCP,80,900
2023-11-22 09:25:30,74.125.200.101,203.0.113.5,UDP,53,650
2023-11-22 09:30:55,45.63.32.10,74.125.16.1,TCP,443,2000
2023-11-22 09:35:20,203.0.113.5,8.8.8.8,HTTP,8080,2200
2023-11-22 09:40:45,151.101.1.69,54.230.200.1,TCP,22,1200
2023-11-22 09:45:10,8.8.8.8,203.0.113.10,UDP,53,700
2023-11-22 09:50:35,203.0.113.10,74.125.16.1,TCP,443,1800
2023-11-22 09:55:00,54.230.200.1,45.63.32.10,HTTP,8080,2500
2023-11-22 10:00:25,74.125.200.101,151.101.1.69,TCP,80,1100
2023-11-22 10:05:50,203.0.113.5,8.8.4.4,UDP,53,550
2023-11-22 10:10:15,74.125.16.1,203.0.113.10,TCP,443,1600
2023-11-22 10:15:40,45.63.32.10,74.125.200.101,HTTP,8080,2800
2023-11-22 10:20:05,151.101.1.69,203.0.113.5,TCP,22,1900
2023-11-22 10:25:30,8.8.4.4,54.230.200.1,UDP,53,700
2023-11-22 10:30:55,203.0.113.10,45.63.32.10,TCP,80,950
2023-11-22 10:35:20,74.125.16.1,203.0.113.5,TCP,443,1400
2023-11-22 10:40:45,45.63.32.10,74.125.200.101,HTTP,8080,3200
2023-11-22 10:45:10,151.101.1.69,8.8.8.8,TCP,22,2200
2023-11-22 10:50:35,203.0.113.5,74.125.16.1,UDP,53,850
2023-11-22 10:55:00,54.230.200.1,203.0.113.10,TCP,443,1200
2023-11-22 11:00:25,8.8.4.4,45.63.32.10,HTTP,8080,2000
2023-11-22 11:05:50,203.0.113.10,151.101.1.69,TCP,80,1000
2023-11-22 11:10:15,74.125.200.101,203.0.113.5,UDP,53,600
2023-11-22 11:15:40,45.63.32.10,74.125.16.1,TCP,443,1800